Order Date,Region,Segment,Ship Mode,Category,Sub-Category,Sales,Quantity,Discount,Profit
2020-03-06 18:22:42.162162,South,Consumer,Standard Class,Office Supplies,Binders,126.64,2,0.1,20.44
2020-03-08 05:27:12.432432,South,Home Office,Same Day,Furniture,Tables,189.68,3,0.5,-39.28
2020-03-09 16:31:42.702702,West,Consumer,First Class,Technology,Phones,143.2,6,0.5,-19.71
2020-03-11 03:36:12.972972,West,Corporate,Same Day,Furniture,Bookcases,27.91,9,0.4,1.38
2020-03-12 14:40:43.243243,Central,Corporate,Standard Class,Furniture,Tables,153.69,9,0.0,24.62
2020-03-14 01:45:13.513513,East,Home Office,Standard Class,Furniture,Tables,35.62,7,0.2,-1.56
2020-03-15 12:49:43.783783,West,Corporate,Second Class,Technology,Phones,139.81,12,0.2,13.57
2020-03-16 23:54:14.054054,West,Home Office,Standard Class,Furniture,Tables,234.69,3,0.5,0.83
2020-03-18 10:58:44.324324,Central,Home Office,First Class,Technology,Phones,226.53,4,0.0,
2020-03-19 22:03:14.594594,Central,Corporate,Same Day,Furniture,Bookcases,281.64,6,0.5,-55.61
2020-03-21 09:07:44.864864,West,Home Office,Standard Class,Office Supplies,Paper,35.03,11,0.2,4.62
2020-03-22 20:12:15.135135,West,Corporate,Standard Class,Office Supplies,Paper,273.98,5,0.5,-50.37
2020-03-24 07:16:45.405405,South,Consumer,First Class,Technology,Phones,103.55,2,0.3,-6.68
2020-03-25 18:21:15.675675,East,Consumer,Same Day,Office Supplies,Paper,137.31,13,0.5,1.68
2020-03-27 05:25:45.945945,South,Corporate,Same Day,Office Supplies,Pens,,6,0.4,-57.31
2020-03-28 16:30:16.216216,West,Corporate,Second Class,Furniture,Bookcases,12.27,3,0.5,
2020-03-30 03:34:46.486486,South,Corporate,Second Class,Technology,Computers,231.93,14,0.4,-44.02
2020-03-31 14:39:16.756756,South,Corporate,Same Day,Furniture,Bookcases,238.27,8,0.0,
2020-04-02 01:43:47.027027,West,Consumer,First Class,Furniture,Bookcases,136.32,2,0.2,22.87
2020-04-03 12:48:17.297297,Central,Home Office,First Class,Furniture,Tables,77.63,1,0.1,13.83
2020-04-04 23:52:47.567567,West,Home Office,Second Class,Furniture,Bookcases,76.86,9,0.1,16.53
2020-04-06 10:57:17.837837,Central,Consumer,Standard Class,Furniture,Chairs,,14,0.2,-13.36
2020-04-07 22:01:48.108108,West,Home Office,First Class,Furniture,Chairs,155.86,12,0.1,19.87
2020-04-09 09:06:18.378378,West,Consumer,Standard Class,Furniture,Tables,110.45,3,0.5,-15.97
2020-04-10 20:10:48.648648,West,Home Office,First Class,Technology,Computers,158.9,11,0.0,12.42
2020-04-12 07:15:18.918918,East,Corporate,Same Day,Office Supplies,Binders,286.7,1,0.0,56.15
2020-04-13 18:19:49.189189,Central,Corporate,Second Class,Furniture,Chairs,49.38,7,0.2,10.18
2020-04-15 05:24:19.459459,East,Corporate,Standard Class,Furniture,Bookcases,159.2,13,0.1,0.32
2020-04-16 16:28:49.729729,West,Consumer,Standard Class,Furniture,Chairs,231.61,10,0.5,-37.65
2020-04-18 03:33:20.000000,South,Consumer,Same Day,Furniture,Tables,751.95,5,0.0,84.42
2020-04-19 14:37:50.270270,East,Home Office,First Class,Furniture,Bookcases,82.76,5,0.0,10.05
2020-04-21 01:42:20.540540,Central,Home Office,Standard Class,Furniture,Bookcases,121.28,14,0.3,17.29
2020-04-22 12:46:50.810810,West,Home Office,First Class,Office Supplies,Paper,129.25,1,0.3,1.35
2020-04-23 23:51:21.081081,East,Consumer,Same Day,Office Supplies,Binders,242.56,9,0.0,46.06
2020-04-25 10:55:51.351351,South,Home Office,Second Class,Furniture,Chairs,120.3,7,0.2,19.03
2020-04-26 22:00:21.621621,East,Corporate,Standard Class,Office Supplies,Pens,200.63,8,0.4,-28.82
2020-04-28 09:04:51.891891,Central,Home Office,First Class,Technology,Phones,390.57,9,0.4,-17.11
2020-04-29 20:09:22.162162,East,Corporate,Standard Class,Furniture,Chairs,315.52,6,0.5,-38.18
2020-05-01 07:13:52.432432,South,Consumer,First Class,Technology,Computers,157.81,12,0.0,36.15
2020-05-02 18:18:22.702702,South,Corporate,First Class,Technology,Computers,509.17,5,0.0,178.14
2020-05-04 05:22:52.972972,Central,Corporate,First Class,Furniture,Bookcases,214.19,6,0.0,
2020-05-05 16:27:23.243243,South,Corporate,Same Day,Office Supplies,Paper,204.08,11,0.2,10.07
2020-05-07 03:31:53.513513,West,Consumer,Second Class,Technology,Phones,18.7,2,0.3,2.21
2020-05-08 14:36:23.783783,South,Consumer,Standard Class,Furniture,Chairs,1089.87,4,0.0,
2020-05-10 01:40:54.054054,West,Consumer,Second Class,Technology,Accessories,42.8,3,0.0,2.53
2020-05-11 12:45:24.324324,East,Consumer,First Class,Technology,Accessories,75.71,13,0.1,3.89
2020-05-12 23:49:54.594594,West,Home Office,First Class,Technology,Computers,23.27,7,0.2,0.75
2020-05-14 10:54:24.864864,West,Consumer,Second Class,Technology,Computers,265.41,9,0.5,-25.7
2020-05-15 21:58:55.135135,East,Corporate,Second Class,Office Supplies,Binders,73.63,5,0.0,17.27
2020-05-17 09:03:25.405405,South,Consumer,Standard Class,Technology,Phones,59.62,6,0.1,15.69
2020-05-18 20:07:55.675675,West,Home Office,First Class,Technology,Phones,33.18,10,0.4,-1.23
2020-05-20 07:12:25.945945,South,Home Office,Second Class,Technology,Computers,37.26,14,0.5,-3.71
2020-05-21 18:16:56.216216,East,Home Office,Same Day,Office Supplies,Paper,229.67,12,0.0,14.95
2020-05-23 05:21:26.486486,Central,Corporate,First Class,Technology,Computers,301.35,12,0.0,18.22
2020-05-24 16:25:56.756756,South,Consumer,First Class,Technology,Accessories,136.62,2,0.1,21.22
2020-05-26 03:30:27.027027,South,Consumer,Standard Class,Office Supplies,Binders,173.43,3,0.2,10.66
2020-05-27 14:34:57.297297,Central,Consumer,Same Day,Office Supplies,Pens,299.56,3,0.0,90.39
2020-05-29 01:39:27.567567,Central,Corporate,Standard Class,Office Supplies,Paper,14.38,12,0.4,-2.04
2020-05-30 12:43:57.837837,East,Corporate,Same Day,Technology,Computers,107.57,12,0.0,6.18
2020-05-31 23:48:28.108108,South,Home Office,Standard Class,Office Supplies,Paper,913.89,9,0.4,-50.53
2020-06-02 10:52:58.378378,South,Home Office,Same Day,Office Supplies,Pens,226.94,7,0.5,-40.57
2020-06-03 21:57:28.648648,East,Consumer,Same Day,Technology,Accessories,83.33,8,0.5,-19.59
2020-06-05 09:01:58.918918,South,Corporate,Same Day,Office Supplies,Pens,194.39,11,0.3,16.99
2020-06-06 20:06:29.189189,West,Corporate,Second Class,Technology,Phones,114.89,10,0.3,-11.09
2020-06-08 07:10:59.459459,West,Consumer,First Class,Furniture,Chairs,199.95,11,0.4,-1.5
2020-06-09 18:15:29.729729,West,Consumer,Same Day,Office Supplies,Paper,43.59,9,0.2,0.62
2020-06-11 05:20:00.000000,South,Home Office,Second Class,Furniture,Chairs,45.6,6,0.0,4.65
2020-06-12 16:24:30.270270,West,Home Office,Second Class,Technology,Accessories,48.74,4,0.0,
2020-06-14 03:29:00.540540,West,Home Office,Standard Class,Office Supplies,Pens,712.6,12,0.3,78.7
2020-06-15 14:33:30.810810,East,Consumer,First Class,Technology,Computers,340.03,1,0.4,-24.61
2020-06-17 01:38:01.081081,East,Consumer,First Class,Furniture,Tables,54.3,8,0.0,14.95
2020-06-18 12:42:31.351351,Central,Home Office,Standard Class,Technology,Phones,62.17,7,0.0,5.45
2020-06-19 23:47:01.621621,Central,Home Office,First Class,Office Supplies,Pens,338.1,2,0.2,54.72
2020-06-21 10:51:31.891891,Central,Corporate,Standard Class,Office Supplies,Pens,52.45,8,0.1,3.2
2020-06-22 21:56:02.162162,Central,Corporate,Second Class,Furniture,Bookcases,76.83,12,0.3,5.63
2020-06-24 09:00:32.432432,East,Home Office,Second Class,Technology,Computers,836.56,5,0.3,
2020-06-25 20:05:02.702702,East,Home Office,Same Day,Office Supplies,Binders,83.7,7,0.1,22.49
2020-06-27 07:09:32.972972,East,Corporate,Standard Class,Furniture,Bookcases,280.91,4,0.0,46.69
2020-06-28 18:14:03.243243,West,Home Office,Second Class,Office Supplies,Pens,971.46,5,0.2,-48.72
2020-06-30 05:18:33.513513,West,Corporate,Second Class,Office Supplies,Pens,127.22,8,0.2,-8.17
2020-07-01 16:23:03.783783,Central,Corporate,Standard Class,Technology,Computers,14.42,1,0.3,1.7
2020-07-03 03:27:34.054054,West,Corporate,Second Class,Office Supplies,Pens,79.98,1,0.2,6.99
2020-07-04 14:32:04.324324,South,Consumer,First Class,Technology,Accessories,454.28,4,0.5,-7.92
2020-07-06 01:36:34.594594,East,Consumer,Second Class,Office Supplies,Paper,509.9,3,0.1,30.76
2020-07-07 12:41:04.864864,Central,Home Office,Standard Class,Furniture,Chairs,375.81,13,0.0,57.7
2020-07-08 23:45:35.135135,Central,Corporate,First Class,Office Supplies,Binders,40.01,10,0.5,-9.64
2020-07-10 10:50:05.405405,South,Consumer,First Class,Technology,Accessories,406.81,12,0.1,113.28
2020-07-11 21:54:35.675675,West,Home Office,Second Class,Technology,Accessories,637.33,2,0.4,6.6
2020-07-13 08:59:05.945945,Central,Home Office,Same Day,Furniture,Chairs,239.45,12,0.3,35.91
2020-07-14 20:03:36.216216,West,Home Office,First Class,Office Supplies,Binders,717.03,3,0.2,6.92
2020-07-16 07:08:06.486486,West,Home Office,Standard Class,Office Supplies,Paper,448.38,11,0.4,-2.94
2020-07-17 18:12:36.756756,South,Home Office,Same Day,Furniture,Chairs,284.88,11,0.2,38.05
2020-07-19 05:17:07.027027,Central,Corporate,Same Day,Office Supplies,Paper,225.21,14,0.5,-34.85
2020-07-20 16:21:37.297297,West,Home Office,First Class,Office Supplies,Paper,117.15,11,0.0,
2020-07-22 03:26:07.567567,West,Corporate,Second Class,Technology,Accessories,53.38,1,0.0,17.84
2020-07-23 14:30:37.837837,South,Consumer,Same Day,Office Supplies,Pens,242.19,1,0.0,76.4
2020-07-25 01:35:08.108108,South,Home Office,Second Class,Office Supplies,Paper,105.72,6,0.2,16.04
2020-07-26 12:39:38.378378,West,Consumer,First Class,Furniture,Tables,513.3,5,0.4,-54.8
2020-07-27 23:44:08.648648,South,Corporate,Standard Class,Furniture,Tables,1262.79,8,0.0,169.83
2020-07-29 10:48:38.918918,West,Corporate,Same Day,Technology,Computers,359.01,2,0.4,35.54
2020-07-30 21:53:09.189189,Central,Consumer,Standard Class,Office Supplies,Binders,33.71,4,0.2,-2.26
2020-08-01 08:57:39.459459,East,Home Office,Second Class,Office Supplies,Paper,95.16,8,0.5,-3.35
2020-08-02 20:02:09.729729,South,Home Office,Second Class,Office Supplies,Pens,38.88,12,0.4,
2020-08-04 07:06:40.000000,East,Consumer,Standard Class,Technology,Computers,272.82,6,0.5,-17.24
2020-08-05 18:11:10.270270,West,Consumer,First Class,Technology,Phones,372.25,1,0.2,84.51
2020-08-07 05:15:40.540540,West,Consumer,First Class,Furniture,Tables,659.83,4,0.2,15.55
2020-08-08 16:20:10.810810,West,Home Office,Same Day,Technology,Computers,154.14,1,0.3,-4.32
2020-08-10 03:24:41.081081,East,Home Office,Same Day,Office Supplies,Paper,589.11,13,0.2,-27.29
2020-08-11 14:29:11.351351,West,Home Office,First Class,Office Supplies,Pens,535.71,2,0.2,33.66
2020-08-13 01:33:41.621621,South,Consumer,First Class,Technology,Accessories,105.39,5,0.1,7.2
2020-08-14 12:38:11.891891,Central,Home Office,Standard Class,Office Supplies,Paper,,14,0.0,79.25
2020-08-15 23:42:42.162162,Central,Corporate,Second Class,Office Supplies,Pens,127.77,8,0.3,15.38
2020-08-17 10:47:12.432432,South,Consumer,Second Class,Technology,Phones,98.05,8,0.3,14.77
2020-08-18 21:51:42.702702,Central,Home Office,Same Day,Technology,Phones,,11,0.3,-20.19
2020-08-20 08:56:12.972972,East,Consumer,First Class,Office Supplies,Paper,109.52,3,0.1,11.14
2020-08-21 20:00:43.243243,West,Corporate,Standard Class,Office Supplies,Pens,258.7,11,0.5,7.4
2020-08-23 07:05:13.513513,West,Corporate,Same Day,Office Supplies,Paper,245.29,13,0.2,-12.62
2020-08-24 18:09:43.783783,West,Consumer,Standard Class,Furniture,Tables,217.21,4,0.0,16.88
2020-08-26 05:14:14.054054,East,Consumer,First Class,Furniture,Bookcases,129.68,10,0.4,-18.31
2020-08-27 16:18:44.324324,East,Corporate,First Class,Furniture,Bookcases,208.79,11,0.5,-14.92
2020-08-29 03:23:14.594594,East,Consumer,First Class,Technology,Accessories,236.89,14,0.2,-5.89
2020-08-30 14:27:44.864864,South,Corporate,Second Class,Furniture,Bookcases,207.24,6,0.1,58.11
2020-09-01 01:32:15.135135,East,Corporate,First Class,Technology,Computers,5113.512847635864,11,0.2,10.05
2020-09-02 12:36:45.405405,Central,Home Office,Same Day,Technology,Accessories,13.69,11,0.2,1.1
2020-09-03 23:41:15.675675,South,Consumer,Second Class,Furniture,Bookcases,231.11,10,0.1,14.79
2020-09-05 10:45:45.945945,South,Consumer,Standard Class,Furniture,Chairs,56.11,3,0.3,0.63
2020-09-06 21:50:16.216216,South,Home Office,Same Day,Furniture,Bookcases,267.21,2,0.3,18.32
2020-09-08 08:54:46.486486,East,Corporate,Same Day,Office Supplies,Binders,366.1,6,0.0,100.81
2020-09-09 19:59:16.756756,South,Consumer,Standard Class,Furniture,Tables,183.51,11,0.0,50.68
2020-09-11 07:03:47.027027,East,Home Office,Second Class,Office Supplies,Binders,205.42,13,0.3,8.91
2020-09-12 18:08:17.297297,East,Home Office,Same Day,Technology,Computers,766.44,5,0.5,16.33
2020-09-14 05:12:47.567567,South,Consumer,Same Day,Office Supplies,Pens,479.6,14,0.4,26.48
2020-09-15 16:17:17.837837,West,Home Office,Same Day,Furniture,Bookcases,624.04,10,0.2,98.05
2020-09-17 03:21:48.108108,West,Corporate,Second Class,Technology,Computers,430.19,5,0.4,-74.56
2020-09-18 14:26:18.378378,South,Home Office,Second Class,Technology,Computers,38.83,10,0.2,-2.64
2020-09-20 01:30:48.648648,West,Corporate,Second Class,Technology,Accessories,50.33,13,0.3,-3.34
2020-09-21 12:35:18.918918,Central,Corporate,Same Day,Office Supplies,Binders,196.97,5,0.0,49.06
2020-09-22 23:39:49.189189,Central,Consumer,First Class,Furniture,Chairs,80.61,10,0.5,-10.21
2020-09-24 10:44:19.459459,East,Home Office,Standard Class,Technology,Computers,171.9,12,0.0,29.35
2020-09-25 21:48:49.729729,West,Corporate,First Class,Technology,Computers,135.37,5,0.4,10.2
2020-09-27 08:53:20.000000,Central,Corporate,Second Class,Technology,Phones,209.3,3,0.0,66.7
2020-09-28 19:57:50.270270,South,Home Office,Same Day,Office Supplies,Paper,353.47,7,0.3,50.46
2020-09-30 07:02:20.540540,West,Corporate,Same Day,Office Supplies,Pens,324.25,6,0.5,-50.53
2020-10-01 18:06:50.810810,Central,Home Office,First Class,Furniture,Bookcases,194.14,4,0.4,3.36
2020-10-03 05:11:21.081081,Central,Consumer,First Class,Office Supplies,Paper,442.05,2,0.5,-74.49
2020-10-04 16:15:51.351351,South,Corporate,Standard Class,Technology,Phones,150.91,12,0.2,-1.93
2020-10-06 03:20:21.621621,East,Corporate,Same Day,Furniture,Bookcases,577.56,9,0.0,
2020-10-07 14:24:51.891891,South,Home Office,First Class,Technology,Computers,28.49,1,0.5,-4.2
2020-10-09 01:29:22.162162,East,Home Office,Standard Class,Technology,Phones,783.39,13,0.1,93.21
2020-10-10 12:33:52.432432,Central,Home Office,Second Class,Office Supplies,Pens,275.83,13,0.0,82.55
2020-10-11 23:38:22.702702,East,Home Office,First Class,Furniture,Tables,129.54,11,0.2,-4.41
2020-10-13 10:42:52.972972,Central,Corporate,Second Class,Office Supplies,Paper,64.9,14,0.5,-1.92
2020-10-14 21:47:23.243243,Central,Consumer,Standard Class,Office Supplies,Binders,173.09,4,0.4,-5.29
2020-10-16 08:51:53.513513,West,Consumer,Second Class,Furniture,Bookcases,64.09,1,0.2,1.05
2020-10-17 19:56:23.783783,East,Consumer,Same Day,Technology,Phones,55.48,13,0.1,7.65
2020-10-19 07:00:54.054054,East,Consumer,Same Day,Technology,Computers,250.16,6,0.5,-40.03
2020-10-20 18:05:24.324324,East,Home Office,Second Class,Furniture,Chairs,195.1,4,0.3,9.53
2020-10-22 05:09:54.594594,South,Corporate,Same Day,Technology,Computers,287.24,5,0.0,51.75
2020-10-23 16:14:24.864864,West,Corporate,Standard Class,Furniture,Bookcases,673.41,5,0.4,-94.73
2020-10-25 03:18:55.135135,West,Corporate,Same Day,Furniture,Bookcases,199.96,9,0.3,-19.0
2020-10-26 14:23:25.405405,West,Home Office,Second Class,Office Supplies,Paper,227.43,1,0.5,-19.56
2020-10-28 01:27:55.675675,South,Corporate,Second Class,Furniture,Tables,33.48,13,0.5,0.69
2020-10-29 12:32:25.945945,East,Home Office,Second Class,Office Supplies,Paper,326.14,2,0.2,10.82
2020-10-30 23:36:56.216216,East,Corporate,First Class,Technology,Phones,137.67,13,0.5,-4.14
2020-11-01 10:41:26.486486,East,Consumer,Second Class,Technology,Computers,950.1,6,0.4,7.22
2020-11-02 21:45:56.756756,West,Home Office,Standard Class,Technology,Computers,443.15,5,0.3,66.24
2020-11-04 08:50:27.027027,West,Corporate,Same Day,Technology,Computers,194.79,11,0.4,10.97
2020-11-05 19:54:57.297297,Central,Consumer,Same Day,Office Supplies,Pens,42.88,7,0.1,
2020-11-07 06:59:27.567567,South,Consumer,First Class,Technology,Phones,500.49,3,0.1,93.65
2020-11-08 18:03:57.837837,South,Consumer,First Class,Furniture,Chairs,412.09,3,0.0,131.67
2020-11-10 05:08:28.108108,West,Home Office,Standard Class,Furniture,Bookcases,61.01,10,0.0,10.36
2020-11-11 16:12:58.378378,Central,Home Office,Second Class,Furniture,Tables,97.49,2,0.1,8.58
2020-11-13 03:17:28.648648,East,Corporate,First Class,Office Supplies,Pens,404.25,13,0.5,-99.75
2020-11-14 14:21:58.918918,West,Consumer,Same Day,Technology,Accessories,61.21,3,0.4,3.55
2020-11-16 01:26:29.189189,South,Corporate,First Class,Technology,Accessories,634.51,10,0.1,146.12
2020-11-17 12:30:59.459459,South,Corporate,First Class,Technology,Phones,,1,0.0,12.05
2020-11-18 23:35:29.729729,South,Consumer,Second Class,Office Supplies,Pens,32.77,5,0.1,
2020-11-20 10:40:00.000000,East,Corporate,First Class,Furniture,Chairs,432.86,14,0.5,-47.96
2020-11-21 21:44:30.270270,South,Home Office,Standard Class,Furniture,Chairs,126.91,12,0.1,3.25
2020-11-23 08:49:00.540540,East,Corporate,Same Day,Technology,Phones,196.9,5,0.4,20.51
2020-11-24 19:53:30.810810,East,Consumer,Second Class,Furniture,Tables,39.78,12,0.3,-2.61
2020-11-26 06:58:01.081081,East,Home Office,Same Day,Furniture,Chairs,10.65,11,0.5,-2.45
2020-11-27 18:02:31.351351,West,Home Office,Standard Class,Office Supplies,Paper,264.02,7,0.0,60.32
2020-11-29 05:07:01.621621,East,Corporate,Standard Class,Office Supplies,Binders,190.99,4,0.4,6.05
2020-11-30 16:11:31.891891,Central,Corporate,First Class,Office Supplies,Paper,235.07,3,0.1,-0.06
2020-12-02 03:16:02.162162,South,Home Office,First Class,Office Supplies,Pens,404.66,1,0.1,75.92
2020-12-03 14:20:32.432432,West,Corporate,First Class,Technology,Accessories,270.04,12,0.3,8.02
2020-12-05 01:25:02.702702,South,Consumer,Same Day,Office Supplies,Paper,58.02,8,0.0,4.7
2020-12-06 12:29:32.972972,East,Corporate,Standard Class,Furniture,Tables,121.87,13,0.0,12.4
2020-12-07 23:34:03.243243,West,Corporate,Second Class,Technology,Accessories,600.83,3,0.2,60.32
2020-12-09 10:38:33.513513,Central,Home Office,First Class,Furniture,Tables,377.36,13,0.0,52.42
2020-12-10 21:43:03.783783,East,Corporate,Same Day,Furniture,Tables,213.34,2,0.3,32.32
2020-12-12 08:47:34.054054,South,Corporate,First Class,Furniture,Bookcases,83.81,11,0.2,14.72
2020-12-13 19:52:04.324324,Central,Corporate,Standard Class,Office Supplies,Binders,99.91,4,0.2,22.49
2020-12-15 06:56:34.594594,East,Consumer,Second Class,Office Supplies,Pens,339.15,3,0.1,23.03
2020-12-16 18:01:04.864864,Central,Corporate,Standard Class,Technology,Computers,486.24,13,0.1,136.59
2020-12-18 05:05:35.135135,East,Consumer,Same Day,Technology,Accessories,288.25,1,0.0,51.7
2020-12-19 16:10:05.405405,West,Consumer,First Class,Office Supplies,Paper,424.57,3,0.2,14.54
2020-12-21 03:14:35.675675,East,Consumer,Standard Class,Furniture,Bookcases,373.81,12,0.1,1.91
2020-12-22 14:19:05.945945,West,Consumer,Same Day,Technology,Accessories,50.54,2,0.3,-5.77
2020-12-24 01:23:36.216216,East,Home Office,First Class,Office Supplies,Pens,147.89,8,0.1,29.22
2020-12-25 12:28:06.486486,East,Consumer,Second Class,Office Supplies,Pens,51.51,6,0.5,-5.8
2020-12-26 23:32:36.756756,South,Corporate,Standard Class,Office Supplies,Binders,77.05,9,0.5,-14.03
2020-12-28 10:37:07.027027,Central,Consumer,First Class,Furniture,Chairs,518.64,8,0.1,90.34
2020-12-29 21:41:37.297297,Central,Corporate,First Class,Office Supplies,Pens,170.09,10,0.2,1.0
2020-12-31 08:46:07.567567,Central,Consumer,First Class,Office Supplies,Binders,201.62,3,0.2,20.83
2021-01-01 19:50:37.837837,East,Home Office,First Class,Office Supplies,Paper,59.14,5,0.4,-4.86
2021-01-03 06:55:08.108108,East,Consumer,Standard Class,Office Supplies,Paper,103.59,7,0.5,-0.3
2021-01-04 17:59:38.378378,East,Consumer,First Class,Technology,Phones,75.42,5,0.3,8.76
2021-01-06 05:04:08.648648,West,Home Office,Same Day,Technology,Phones,67.73,8,0.2,4.96
2021-01-07 16:08:38.918918,West,Consumer,Standard Class,Office Supplies,Pens,264.0,12,0.0,40.98
2021-01-09 03:13:09.189189,South,Corporate,First Class,Furniture,Bookcases,84.23,5,0.5,-11.9
2021-01-10 14:17:39.459459,East,Consumer,Standard Class,Technology,Computers,,1,0.3,29.04
2021-01-12 01:22:09.729729,Central,Consumer,Same Day,Office Supplies,Binders,25.06,5,0.3,-0.79
2021-01-13 12:26:40.000000,Central,Consumer,Same Day,Technology,Computers,48.22,4,0.2,-0.35
2021-01-14 23:31:10.270270,South,Home Office,Standard Class,Technology,Phones,,6,0.3,-9.44
2021-01-16 10:35:40.540540,Central,Consumer,First Class,Furniture,Chairs,237.23,3,0.2,16.61
2021-01-17 21:40:10.810810,South,Consumer,First Class,Office Supplies,Pens,291.63,11,0.1,39.26
2021-01-19 08:44:41.081081,East,Corporate,Same Day,Office Supplies,Paper,156.17,5,0.5,0.35
2021-01-20 19:49:11.351351,Central,Consumer,First Class,Furniture,Chairs,157.55,2,0.4,-19.48
2021-01-22 06:53:41.621621,East,Consumer,Same Day,Furniture,Chairs,332.31,11,0.1,34.66
